iamge_link,image_alt,title,heading_link,main_content,article_title,article_status,article_uploaded,article_calendar,hahhhaha
https://i.dawn.com/thumbnail/2021/11/6195b7aaa0bd7.jpg,Balochistan’s development,title,https://www.dawn.com/news/1658764/balochistans-development,"ALL socioeconomic indicators show a marked difference between Balochistan and national averages. Whether it is the list of Pakistan’s most backward districts, poverty rates and GDP per capita, or unemployment, illiteracy and lack of connectivity, Balochistan ranks at the bottom of the pyramid. There are, of course, inbuilt structural impediments such as a large area, sparse population, low density, tracts of uncultivable and rugged land, dwindling water availability, long distances between few urban areas. Cost of building infrastructure is relatively higher than in other parts of the country and that is why greater allocation to Balochistan under the NFC award is fully justified. However, there are issues of strategic choices, resource utilisation, public investment and development priorities that are amenable to prudent management. What would it entail?",Balochistan’s development,Updated,"18 Nov, 2021 07:49am","18 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/6195b7225268b.jpg,The spin ends,title,https://www.dawn.com/news/1658763/the-spin-ends,"FINANCE MINISTER Shaukat Tarin is finding out that it is easier to make promises than to deliver on them. And State Bank Governor Reza Baqir is finding out that in Pakistan it is rarely a good idea to give commitments in writing. Because they’re only there until they’re not, but the written word endures.",The spin ends,Updated,"18 Nov, 2021 07:40am","18 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/6195b6b023c8f.jpg,A modern Cyclops,title,https://www.dawn.com/news/1658762/a-modern-cyclops,UNDERGOING an operation for the removal of a cataract is like being the prime ingredient in a gourmet meal: time is taken in the preparation.,A modern Cyclops,Published,"18 Nov, 2021 07:12am","18 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/6195b631d81f2.jpg,Vulnerable groups,title,https://www.dawn.com/news/1658760/vulnerable-groups,"VULNERABLE populations are identified as those with fewer resources, less access to the latter and less power within larger groups. People differ in their exposure to risk on the basis of their social group, gender, ethnicity, age, etc. Vulnerable groups mostly include women, children, transgender, elderly people, certain ethnic groups or minorities, immigrants and persons with disabilities.",Vulnerable groups,Published,"18 Nov, 2021 07:10am","18 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/619457e9e2a3e.jpg,Down but not out,title,https://www.dawn.com/news/1658550/down-but-not-out,"THERE isn’t a great deal to be said for sprawling international conferences, at least as far as outcomes are concerned. Perhaps everyone represented gets to have their say on the conference floor. You can rest assured, though, that most of the words — particularly words of wisdom — will fall on deaf ears.",Down but not out,Published,"17 Nov, 2021 06:41am","17 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/619457a984fcb.jpg,‘Lala’ land,title,https://www.dawn.com/news/1658549/lala-land,"LALA was a door-to-door salesman. Yes! this breed of salespeople is not restricted to the Hollywood movies of yore; our neck of the woods had them too. The smuggled-goods markets, generically called ‘bara’ and somewhat disingenuously ‘chor bazar’ preceded the advent of the malls and the online shopping options. The payment methods at the marketplace were also mostly restricted to cash.",‘Lala’ land,Published,"17 Nov, 2021 06:41am","17 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/6194574ca394a.jpg,Rushing towards a calamity,title,https://www.dawn.com/news/1658548/rushing-towards-a-calamity,"THE climate summit held in Glasgow did not produce the agreement that the ailing planet that we all inhabit so desperately needed. Many thousands of people attended, Covid-19 restrictions notwithstanding. Most came from the Western countries that are directly responsible for producing the crisis itself, and few, according to Mary Robinson, a former Prime Minister of Ireland, came with a “crisis” mindset that would lead to any sort of urgency in coming to a consensus.",Rushing towards a calamity,Updated,"17 Nov, 2021 07:45am","17 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/619456f98da77.jpg,Winds of change,title,https://www.dawn.com/news/1658547/winds-of-change,"SINCE coming to power more than three years ago, the PTI government has staggered from crisis to crisis. But now, it’s fighting for its survival. With the winds of change blowing, its allies have raised their stakes. Last week, the government was twice defeated in the National Assembly in voting on some bills and a joint session of parliament was called off at the last moment.",Winds of change,Updated,"17 Nov, 2021 07:34am","17 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/6193138629509.jpg,Flying high in the ad world,title,https://www.dawn.com/news/1658382/flying-high-in-the-ad-world,"IN a recent ad on television, a grandmother wants her granddaughter to get engaged so it provides an excuse to hold a celebration in the family. Upon being told that the young girl is interested in studying further, she suggests that the celebration be held when the granddaughter graduates. To be honest, I can’t really remember what the ad is selling, though the message was positive enough to have left an imprint.",Flying high in the ad world,Published,"16 Nov, 2021 07:12am","16 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/619313346f312.jpg,A damaging debate on Savarkar,title,https://www.dawn.com/news/1658381/a-damaging-debate-on-savarkar,"A TWO-VOLUME book on Vinayak Damodar Savarkar has triggered unease among liberal intellectuals. Savarkar was a suspect in the conspiracy to assassinate Gandhi and is said to have closely escaped conviction. In the liberal lore, he is the chief author of Hindu fascism. They never fail to highlight his craven apologies to his British jailers to seek freedom from prison. Hindutva advocates regard him as a towering hero, much more actively since their party took power in 2014.",A damaging debate on Savarkar,Updated,"16 Nov, 2021 08:07am","16 Nov, 2021",welcome in my world
image not found,A damaging debate on Savarkar,title,https://www.dawn.com/news/1658759/no-victory-for-democracy,"EVEN as speculation ran high of the government not having the requisite numbers, the PTI has emerged victorious in this week’s joint session by passing two crucial amendments to the Elections Act 2017. Both amendments, which relate to electronic voting machines and the right of overseas Pakistanis to vote, have been extremely controversial and the main point of contention between the ruling party and the opposition in recent times.",No victory for democracy,Published,"18 Nov, 2021 07:09am","18 Nov, 2021",welcome in my world
